Order_ID,Order_Date,Customer,Gender,City,Region,Category,Product,Quantity,Unit_Price,Discount,Sales_Amount
1001,2026-04-13,Rahul,Male,Mumbai,West,Electronics,Headphones,3,44832,0.0,134496.0
1002,2026-05-30,Arjun,Female,Chennai,South,Furniture,Chair,4,16123,0.1,58042.8
1003,2026-10-04,Ramesh,Female,Mumbai,West,Clothing,Jeans,2,5411,0.15,9198.7
1004,2026-02-28,Kiran,Female,Bangalore,South,Clothing,Shirt,4,27580,0.0,110320.0
1005,2026-09-01,Vijay,Male,Mumbai,West,Grocery,Sugar,3,1999,0.1,5397.3
1006,2026-03-30,Anjali,Female,Chennai,South,Electronics,Headphones,5,14602,0.05,69359.5
1007,2026-12-06,Anjali,Male,Bangalore,South,Clothing,Shirt,2,2712,0.05,5152.8
1008,2026-02-19,Vijay,Female,Mumbai,West,Furniture,Chair,3,14641,0.0,43923.0
1009,2026-07-10,Rahul,Female,Bangalore,South,Clothing,Jeans,2,40857,0.0,81714.0
1010,2026-09-28,Vijay,Female,Mumbai,West,Clothing,Jeans,4,32706,0.15,111200.4
1011,2026-12-04,Kiran,Male,Mumbai,West,Electronics,Mobile,5,23347,0.0,116735.0
1012,2026-10-28,Ramesh,Male,Bangalore,South,Electronics,Laptop,1,38144,0.1,34329.6
1013,2026-03-04,Priya,Male,Hyderabad,South,Grocery,Rice,4,2795,0.15,9503.0
1014,2026-08-19,Rahul,Male,Hyderabad,South,Grocery,Sugar,3,12766,0.0,38298.0
1015,2026-02-17,Kiran,Male,Mumbai,West,Furniture,Chair,4,48133,0.0,192532.0
1016,2026-08-02,Priya,Male,Pune,West,Grocery,Rice,3,19215,0.15,48998.25
1017,2026-09-12,Sneha,Male,Hyderabad,South,Furniture,Chair,3,17512,0.05,49909.2
1018,2026-06-28,Kiran,Female,Chennai,South,Electronics,Headphones,2,23519,0.0,47038.0
1019,2026-08-19,Arjun,Male,Hyderabad,South,Grocery,Rice,4,18241,0.0,72964.0
1020,2026-10-11,Rahul,Female,Chennai,South,Electronics,Laptop,3,27990,0.05,79771.5
1021,2026-01-28,Anjali,Female,Delhi,North,Clothing,Shirt,5,2793,0.15,11870.25
1022,2026-12-14,Ramesh,Male,Mumbai,West,Clothing,Jeans,3,18147,0.05,51718.95
1023,2026-05-01,Anjali,Male,Pune,West,Electronics,Laptop,1,1406,0.05,1335.7
1024,2026-06-14,Ramesh,Male,Hyderabad,South,Furniture,Sofa,3,29420,0.05,83847.0
1025,2026-04-06,Vijay,Male,Bangalore,South,Grocery,Sugar,3,28121,0.15,71708.55
1026,2026-09-25,Sneha,Male,Mumbai,West,Electronics,Mobile,1,39453,0.15,33535.05
1027,2026-03-22,Priya,Male,Bangalore,South,Furniture,Chair,5,20180,0.15,85765.0
1028,2026-05-06,Rahul,Male,Bangalore,South,Clothing,Jeans,5,38723,0.0,193615.0
1029,2026-05-03,Ramesh,Male,Mumbai,West,Clothing,Jeans,4,33070,0.15,112438.0
